School,G,W,STL,SRS,SOS,Tm.,Opp.,MP,FG,FGA,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,FG%,BLK,TOV,PF,,,,,,,
Colorado State,32,12,199,-0.11,1.41,2393,2406,1285,866,1818,259,722,0.359,402,579,0.694,256,1080,472,0.476,76,372,522,,,FG%,0.465098358,1,,
Weber State,33,18,179,-4.37,-6.12,2617,2454,1330,920,1934,249,684,0.364,528,708,0.746,220,1177,383,0.476,140,382,609,,,,,,,
Fairleigh Dickinson NCAA,35,21,261,-6.09,-7.24,2620,2515,1420,921,1939,269,672,0.4,509,702,0.725,323,1155,486,0.475,132,477,578,,"Results: Strong correlation between assists and FG% in dataset, but weaker correlation with > 500 assists and over .45 FG%. ",,,,,
Omaha,32,21,180,-2.32,-3.39,2523,2454,1290,950,1998,282,719,0.392,341,473,0.721,273,1047,409,0.475,61,304,486,,,,,,,
Virginia NCAA,38,35,211,25.46,10.15,2714,2132,1535,974,2056,321,813,0.395,445,598,0.744,342,1326,544,0.474,149,342,542,,AST,,,,FG%,
William & Mary,31,14,158,-4.78,-2.08,2321,2385,1265,841,1773,254,735,0.346,385,576,0.668,251,1057,529,0.474,146,390,516,,,,,,,
Furman,33,25,288,7.46,-1.5,2562,2182,1340,930,1962,338,935,0.361,364,508,0.717,326,1171,524,0.474,137,407,481,,Mean,443.0906516,,,Mean,0.442997167
American,30,15,221,-4.19,-7.23,2161,2070,1220,780,1645,190,584,0.325,411,589,0.698,251,1014,402,0.474,131,386,520,,Standard Error,3.747016904,,,Standard Error,0.001299116
Richmond,33,13,249,-1.37,-0.79,2314,2333,1320,849,1800,251,723,0.347,365,552,0.661,196,957,519,0.472,101,336,488,,Median,440,,,Median,0.443
Massachusetts-Lowell,32,15,181,-8.28,-6.95,2456,2420,1290,875,1852,246,721,0.341,460,639,0.72,293,1115,500,0.472,85,447,589,,Mode,478,,,Mode,0.454
Mississippi State NCAA,34,23,274,15.96,9.07,2628,2394,1370,936,1982,292,774,0.377,464,647,0.717,393,1215,481,0.472,172,451,586,,Standard Deviation,70.40005607,,,Standard Deviation,0.024408165
Samford,33,17,238,0.69,-2.03,2583,2487,1355,921,1951,254,687,0.37,487,666,0.731,316,1225,461,0.472,127,463,560,,Sample Variance,4956.167895,,,Sample Variance,0.000595759
Austin Peay,33,22,252,0.59,-4.41,2712,2413,1335,973,2060,268,702,0.382,498,705,0.706,397,1215,454,0.472,110,392,596,,Kurtosis,0.814588897,,,Kurtosis,0.446701079
Saint Mary's (CA) NCAA,34,22,201,12.58,4.4,2463,2185,1365,899,1905,253,670,0.378,412,555,0.742,329,1180,341,0.472,87,355,572,,Skewness,0.552816685,,,Skewness,-0.091019371
