School,G,W,STL,SRS,SOS,Tm.,Opp.,MP,FG,FGA,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,FG%,BLK,TOV,PF,,,,,,,
Louisiana,32,19,226,-2.07,-1.51,2612,2575,1290,901,2026,283,821,0.345,527,710,0.742,364,1142,487,0.445,125,423,612,,,,,,,
Butler,33,16,193,9.22,8.1,2374,2337,1330,861,1934,292,827,0.353,360,488,0.738,288,1058,434,0.445,62,359,593,,,,,,,
Santa Clara,31,16,146,-1.91,0.92,2115,2172,1255,735,1653,239,663,0.36,406,567,0.716,242,1026,416,0.445,111,433,597,,,,,,,
George Mason,33,18,204,0.84,0.08,2314,2289,1330,825,1855,210,637,0.33,454,634,0.716,323,1166,399,0.445,97,428,563,,,,,,,
New Orleans,33,19,285,-8.88,-6.47,2384,2325,1345,862,1941,189,566,0.334,471,681,0.692,393,1166,497,0.444,134,517,631,,,,,,,
Texas State,34,24,234,1.54,-3,2470,2204,1370,876,1971,244,744,0.328,474,694,0.683,409,1291,493,0.444,84,455,667,,,,,,,
Pepperdine,34,16,229,0.9,0.63,2572,2529,1370,865,1949,313,819,0.382,529,696,0.76,290,1085,479,0.444,95,432,639,,,,,,,
High Point,31,16,170,-5.63,-4.39,2115,2105,1255,763,1719,180,583,0.309,409,605,0.676,363,1183,404,0.444,91,406,502,,,,,,,
NJIT,35,22,223,-3.63,-4.74,2472,2401,1410,849,1913,246,713,0.345,528,732,0.721,250,1178,376,0.444,94,421,582,,,,,,,
Georgetown,33,19,198,6.8,5.31,2625,2576,1355,894,2017,269,757,0.355,568,771,0.737,350,1299,542,0.443,131,443,581,,,,,,,
North Carolina-Wilmington,33,10,150,-8.1,-2.04,2515,2670,1335,880,1986,260,744,0.349,493,673,0.733,387,1221,495,0.443,68,436,585,,,,,,,
Bowling Green State,34,22,227,4.24,0.86,2668,2496,1370,945,2134,272,762,0.357,506,755,0.67,408,1396,427,0.443,90,412,596,,,,,,,
UC-Riverside,33,10,164,-11.12,-3.19,2153,2279,1325,792,1787,279,743,0.376,290,424,0.684,286,1051,425,0.443,60,425,562,,,,,,,
Brown,32,20,241,-0.62,-3.29,2355,2204,1290,805,1818,255,745,0.342,490,685,0.715,261,1157,418,0.443,123,458,600,,,,,,,
Chattanooga,32,12,139,-7.87,-0.76,2268,2376,1285,833,1881,290,795,0.365,312,457,0.683,278,1095,418,0.443,79,409,553,,,,,,,
Sam Houston State,33,21,242,-3.17,-5.84,2476,2307,1345,889,2011,308,840,0.367,390,518,0.753,369,1191,555,0.442,94,413,659,,,,,,,
Marshall,37,23,334,-0.64,-0.61,2978,2979,1495,1047,2367,362,1058,0.342,522,723,0.722,319,1260,527,0.442,170,453,664,,,,,,,
Florida State NCAA,37,29,266,17.99,10.26,2771,2485,1500,960,2171,272,819,0.332,579,778,0.744,418,1391,475,0.442,161,492,705,,,,,,,
Baylor NCAA,34,20,209,13.38,9.26,2442,2302,1365,869,1966,274,803,0.341,430,635,0.677,450,1281,473,0.442,159,446,636,,,,,,,
Cornell,31,15,181,-6.12,-2.02,2149,2211,1260,754,1705,243,731,0.332,398,551,0.722,191,1015,453,0.442,107,414,492,,,,,,,
Southern Methodist,32,15,189,5.81,4.12,2303,2249,1280,833,1884,263,772,0.341,374,523,0.715,365,1135,441,0.442,123,350,515,,,,,,,
James Madison,33,14,211,-8.52,-4.07,2322,2409,1350,821,1859,243,670,0.363,437,607,0.72,345,1123,403,0.442,101,420,612,,,,,,,
Massachusetts,32,11,154,-3.02,-0.18,2263,2354,1290,808,1831,256,732,0.35,391,574,0.681,342,1123,468,0.441,93,445,643,,,,,,,
Southeastern Louisiana,33,17,215,-7.59,-6.3,2224,2228,1320,765,1735,235,696,0.338,459,640,0.717,346,1117,452,0.441,80,536,602,,,,,,,
Southern Utah,34,17,199,-8.91,-6.22,2573,2566,1380,881,1997,272,799,0.34,539,757,0.712,282,1250,426,0.441,114,466,696,,,,,,,
Georgia,32,11,185,5.31,8.12,2274,2364,1280,776,1761,210,653,0.322,512,726,0.705,357,1215,423,0.441,163,506,565,,,,,,,
Idaho,32,5,130,-18.74,-6.19,2174,2460,1285,778,1764,251,678,0.37,367,507,0.724,258,1061,399,0.441,53,433,582,,,,,,,
Florida International,34,20,359,-4.55,-1.45,2798,2734,1360,986,2239,279,923,0.302,547,855,0.64,367,1217,491,0.44,153,477,655,,,,,,,
Georgia Tech,32,14,221,6.93,8.15,2091,2130,1285,755,1714,176,573,0.307,405,588,0.689,262,1074,433,0.44,166,459,560,,,,,,,
Alabama,34,18,157,9.45,9.01,2448,2433,1365,856,1945,244,718,0.34,492,739,0.666,384,1285,418,0.44,160,465,572,,,,,,,
Southeast Missouri State,31,10,182,-11.32,-4.39,2216,2378,1265,796,1809,266,719,0.37,358,519,0.69,284,1081,402,0.44,75,447,615,,,,,,,
Southern,32,7,216,-16.79,-7.37,2077,2360,1285,752,1710,180,544,0.331,393,588,0.668,313,980,372,0.44,86,511,716,,,,,,,
Indiana State,31,15,207,-2.72,0.62,2146,2218,1250,757,1719,178,491,0.363,454,621,0.731,250,1007,342,0.44,73,402,586,,,,,,,
Western Illinois,31,10,165,-10.04,-5.18,2198,2272,1245,818,1860,241,626,0.385,321,440,0.73,254,1100,319,0.44,132,353,487,,,,,,,
Seton Hall NCAA,34,20,235,10.25,8.34,2508,2443,1375,888,2021,240,741,0.324,492,697,0.706,361,1213,459,0.439,132,423,638,,,,,,,
Bethune-Cookman,31,14,234,-11.98,-9.74,2290,2245,1250,833,1899,204,635,0.321,420,689,0.61,415,1274,444,0.439,108,501,610,,,,,,,
UC-Davis,31,11,196,-6.26,-1.5,2038,2128,1260,735,1673,203,619,0.328,365,515,0.709,218,929,375,0.439,71,412,596,,,,,,,
Stephen F. Austin,30,14,192,-10.99,-5.92,2105,2161,1210,745,1696,201,588,0.342,414,607,0.682,313,1008,348,0.439,113,442,579,,,,,,,
Villanova NCAA,36,26,194,14.33,7.97,2654,2425,1455,884,2019,380,1081,0.352,506,695,0.728,368,1253,503,0.438,106,388,580,,,,,,,
Virginia Commonwealth NCAA,33,25,263,11.96,2.87,2344,2044,1330,820,1872,235,771,0.305,469,669,0.701,358,1208,450,0.438,148,458,650,,,,,,,
Prairie View NCAA,35,22,309,-7.29,-9.17,2627,2547,1400,903,2061,225,703,0.32,596,875,0.681,392,1151,445,0.438,55,445,758,,,,,,,
Seattle,33,18,141,-1.47,-3.85,2420,2283,1330,852,1945,238,642,0.371,478,668,0.716,336,1221,386,0.438,118,403,657,,,,,,,
South Dakota,30,13,165,-5.52,-3.06,2118,2136,1205,729,1664,227,666,0.341,433,585,0.74,219,942,382,0.438,68,324,527,,,,,,,
Texas A&M,32,14,215,7.21,8.59,2253,2297,1280,806,1842,204,663,0.308,437,631,0.693,372,1195,376,0.438,142,444,521,,,,,,,
Florida A&M,31,12,226,-13.57,-8.09,1927,2057,1245,719,1640,180,489,0.368,309,503,0.614,288,991,355,0.438,111,499,580,,,,,,,
Denver,30,8,142,-11.84,-2.97,2086,2319,1205,755,1723,227,622,0.365,349,460,0.759,275,1041,354,0.438,78,408,506,,,,,,,
Temple NCAA,33,23,284,8.17,4.93,2465,2358,1340,873,1998,247,748,0.33,472,649,0.727,316,1136,476,0.437,73,368,581,,,,,,,
Ohio,31,14,200,-1.84,3.16,2174,2288,1255,803,1838,187,633,0.295,381,602,0.633,332,1152,451,0.437,115,448,504,,,,,,,
Long Island University,32,16,218,-8.99,-9.08,2373,2337,1285,822,1880,277,813,0.341,452,643,0.703,321,1196,430,0.437,157,471,610,,,,,,,
San Diego State,34,21,197,5.29,2.47,2437,2291,1360,845,1940,261,721,0.362,486,679,0.716,346,1228,487,0.436,113,424,638,,,,,,,
Wright State,35,21,214,3.29,-0.89,2561,2365,1405,885,2028,281,818,0.344,510,692,0.737,382,1229,484,0.436,72,402,545,,,,,,,
Elon,32,11,135,-11.53,-3.56,2266,2445,1290,812,1862,335,943,0.355,307,443,0.693,265,1082,468,0.436,62,413,539,,,,,,,
Cleveland State,31,10,174,-7.96,-1.52,2300,2437,1250,799,1834,303,820,0.37,399,585,0.682,303,1093,460,0.436,97,412,551,,,,,,,
Louisiana Tech,33,20,190,0.95,-2.31,2386,2235,1335,840,1928,253,756,0.335,453,690,0.657,368,1204,440,0.436,115,386,535,,,,,,,
Minnesota NCAA,36,22,175,12.52,11.27,2543,2498,1445,887,2039,191,603,0.317,578,848,0.682,402,1314,523,0.435,140,418,578,,,,,,,
Canisius,32,15,204,-8.79,-4.85,2250,2376,1295,798,1834,256,791,0.324,398,575,0.692,300,1026,466,0.435,108,412,627,,,,,,,
North Texas,33,21,210,-0.25,-3.48,2302,2077,1325,831,1910,284,838,0.339,356,532,0.669,368,1244,428,0.435,88,443,589,,,,,,,
Saint Francis (PA),33,18,221,-8.74,-6.16,2517,2510,1320,885,2035,254,724,0.351,493,698,0.706,430,1246,413,0.435,94,402,598,,,,,,,
Miami (FL),32,14,212,9.39,8.7,2297,2275,1285,805,1851,268,805,0.333,419,570,0.735,291,1061,413,0.435,100,372,465,,,,,,,
Towson,32,10,154,-8.44,-3.57,2170,2294,1310,810,1860,180,550,0.327,370,532,0.695,389,1184,319,0.435,94,390,561,,,,,,,
Ohio State NCAA,35,20,206,13.89,11,2419,2318,1405,839,1931,264,774,0.341,477,650,0.734,328,1215,494,0.434,85,438,623,,,,,,,
Louisville NCAA,34,20,149,17.28,11.04,2536,2324,1380,854,1967,294,860,0.342,534,687,0.777,345,1297,458,0.434,99,412,591,,,,,,,
Siena,33,17,190,-7.9,-6.47,2131,2178,1345,772,1779,288,849,0.339,299,440,0.68,248,973,415,0.434,93,321,462,,,,,,,
Fairfield,31,9,202,-10.2,-7.14,2072,2167,1240,761,1755,259,740,0.35,291,420,0.693,273,968,401,0.434,63,436,612,,,,,,,
Texas,37,21,227,16.06,11.46,2628,2458,1495,929,2146,325,934,0.348,445,637,0.699,358,1264,486,0.433,152,401,627,,,,,,,
Howard,34,17,198,-12.3,-9.52,2684,2661,1370,937,2163,244,669,0.365,566,780,0.726,396,1253,463,0.433,144,427,652,,,,,,,
Norfolk State,36,22,219,-8.04,-8.74,2652,2503,1460,900,2079,282,770,0.366,570,803,0.71,366,1318,457,0.433,154,523,763,,,,,,,
Maryland-Baltimore County,34,21,268,-5.85,-5.85,2296,2177,1400,820,1893,261,807,0.323,395,573,0.689,296,1145,453,0.433,83,428,578,,,,,,,
Bradley NCAA,35,20,186,-0.08,-0.9,2329,2285,1405,812,1874,240,653,0.368,465,672,0.692,313,1195,423,0.433,132,440,617,,,,,,,
Texas-San Antonio,32,17,213,0.69,0.05,2481,2407,1295,896,2068,294,855,0.344,395,536,0.737,323,1216,420,0.433,82,402,581,,,,,,,
Hampton,35,18,215,-3.34,-5.06,2847,2669,1430,966,2236,291,844,0.345,622,790,0.787,363,1370,487,0.432,121,379,649,,,,,,,
Robert Morris,35,18,257,-9.41,-7.62,2448,2403,1420,861,1991,280,789,0.355,446,638,0.699,373,1178,487,0.432,92,507,683,,,,,,,
Maine,32,5,239,-15.11,-4.21,1988,2271,1310,747,1728,201,647,0.311,293,452,0.648,280,1015,471,0.432,94,460,566,,,,,,,
Cincinnati NCAA,35,28,214,14.53,5.5,2510,2194,1410,872,2018,232,673,0.345,534,758,0.704,442,1264,466,0.432,155,365,563,,,,,,,
Eastern Illinois,32,14,200,-11.81,-5.01,2299,2457,1310,826,1912,272,735,0.37,375,545,0.688,347,1147,434,0.432,120,427,569,,,,,,,
Kent State,33,22,226,1.26,0.61,2481,2417,1330,878,2032,261,775,0.337,464,641,0.724,412,1185,430,0.432,119,378,601,,,,,,,
Cal State Long Beach,34,15,219,-4.57,-0.44,2545,2584,1375,877,2031,217,630,0.344,574,831,0.691,377,1263,399,0.432,105,479,620,,,,,,,
Northern Arizona,31,10,196,-10.75,-6.23,2262,2402,1250,785,1819,259,749,0.346,433,614,0.705,290,1055,381,0.432,65,372,537,,,,,,,
Tennessee State,30,9,219,-11.62,-3.15,2182,2332,1210,751,1739,240,716,0.335,440,628,0.701,317,1032,342,0.432,78,497,735,,,,,,,
Illinois,33,12,245,8.95,11.53,2398,2483,1335,862,2001,259,751,0.345,415,591,0.702,351,1091,446,0.431,86,435,700,,,,,,,
Illinois State,33,17,162,-2.06,0.25,2257,2314,1330,813,1887,244,734,0.332,387,540,0.717,298,1139,421,0.431,106,417,577,,,,,,,
Missouri-Kansas City,32,11,233,-6.61,-1.55,2220,2341,1290,774,1794,259,728,0.356,413,590,0.7,261,966,351,0.431,90,391,647,,,,,,,
Binghamton,33,10,183,-13.92,-4.69,2152,2376,1320,793,1842,275,788,0.349,291,452,0.644,244,1060,324,0.431,152,409,474,,,,,,,
Saint Peter's,32,10,172,-12.15,-6.4,2012,2196,1305,707,1639,184,567,0.325,414,570,0.726,293,1032,301,0.431,177,488,614,,,,,,,
South Florida,38,24,306,5.96,1.69,2752,2553,1555,911,2120,272,819,0.332,658,1018,0.646,496,1483,521,0.43,124,604,790,,,,,,,
Missouri,32,15,149,8.6,9.16,2150,2168,1290,758,1764,264,727,0.363,370,526,0.703,345,1130,354,0.43,53,448,625,,,,,,,
Charleston Southern,34,18,263,-2.43,-4.19,2574,2369,1370,926,2156,324,945,0.343,398,588,0.677,407,1277,487,0.429,110,441,571,,,,,,,
Eastern Washington,34,16,200,-6.77,-4.17,2460,2527,1380,876,2040,310,886,0.35,398,546,0.729,299,1192,467,0.429,101,401,632,,,,,,,
Nebraska,36,19,260,14.85,11.31,2586,2421,1445,916,2133,270,800,0.338,484,694,0.697,379,1278,466,0.429,151,345,580,,,,,,,
Kansas State NCAA,34,25,256,15.39,9.18,2236,2025,1360,806,1878,241,721,0.334,383,574,0.667,325,1137,464,0.429,76,385,550,,,,,,,
Morehead State,33,13,186,-7.73,-1.76,2431,2543,1335,855,1993,260,762,0.341,461,654,0.705,357,1177,440,0.429,137,402,561,,,,,,,
Texas A&M-Corpus Christi,32,14,197,-9.11,-5.68,2126,2124,1290,774,1803,202,621,0.325,376,541,0.695,349,1158,423,0.429,90,456,610,,,,,,,
St. Bonaventure,34,18,199,3.34,0.25,2250,2145,1385,821,1914,208,635,0.328,400,539,0.742,333,1183,417,0.429,164,421,553,,,,,,,
Rhode Island,33,18,235,2.83,1.19,2293,2239,1335,821,1914,172,615,0.28,479,704,0.68,375,1194,401,0.429,129,405,582,,,,,,,
South Carolina State,34,8,167,-16.86,-8.3,2388,2593,1375,811,1891,193,582,0.332,573,772,0.742,376,1137,386,0.429,60,493,670,,,,,,,
Army,32,13,198,-7.57,-4.73,2268,2305,1280,837,1956,272,863,0.315,322,471,0.684,259,1125,499,0.428,50,376,544,,,,,,,
Duquesne,32,19,250,0.53,-0.63,2351,2314,1295,810,1894,271,841,0.322,460,663,0.694,379,1133,442,0.428,151,451,580,,,,,,,
Longwood,34,16,210,-8.43,-6.62,2407,2408,1375,803,1875,333,939,0.355,468,639,0.732,284,1194,401,0.428,71,477,624,,,,,,,
Youngstown State,32,12,210,-7.78,-2.05,2415,2526,1305,879,2057,303,891,0.34,354,505,0.701,418,1207,449,0.427,115,423,656,,,,,,,
VMI,32,11,217,-10.5,0.09,2433,2617,1290,843,1974,323,899,0.359,424,581,0.73,280,1110,442,0.427,61,390,541,,,,,,,
Nevada-Las Vegas,31,17,184,1.58,0.48,2276,2242,1250,791,1852,251,745,0.337,443,647,0.685,408,1204,401,0.427,115,401,556,,,,,,,
Arizona,32,17,165,8.32,6.32,2269,2205,1290,794,1861,235,699,0.336,446,620,0.719,324,1115,398,0.427,73,370,594,,,,,,,
Quinnipiac,31,16,159,-6.78,-8.03,2294,2255,1270,739,1730,348,923,0.377,468,646,0.724,311,1111,393,0.427,62,415,524,,,,,,,
Arkansas-Pine Bluff,32,13,216,-14.43,-8.18,2108,2269,1300,719,1685,194,574,0.338,476,702,0.678,317,1063,365,0.427,109,478,629,,,,,,,
Central Arkansas,33,14,202,-11.37,-4.81,2383,2498,1330,810,1903,276,784,0.352,487,667,0.73,299,1164,463,0.426,120,478,611,,,,,,,
Rice,32,13,171,-6.56,-2.06,2367,2481,1305,795,1867,277,797,0.348,500,729,0.686,316,1221,425,0.426,104,438,568,,,,,,,
University of California,31,8,227,-3.16,5.42,2121,2387,1245,739,1735,207,592,0.35,436,603,0.723,249,900,338,0.426,99,352,574,,,,,,,
Florida NCAA,36,20,257,15.42,11.22,2440,2289,1455,857,2015,291,872,0.334,435,603,0.721,375,1201,437,0.425,131,420,614,,,,,,,
Boston College,31,14,159,5.83,7.76,2196,2256,1260,768,1808,218,687,0.317,442,633,0.698,331,1139,382,0.425,103,378,509,,,,,,,
Western Michigan,32,8,147,-6.26,1.48,2246,2439,1300,774,1822,228,723,0.315,470,680,0.691,345,1197,374,0.425,78,490,564,,,,,,,
Eastern Kentucky,31,13,317,-7.4,-2.47,2562,2577,1265,902,2125,272,832,0.327,486,683,0.712,362,1167,458,0.424,101,447,661,,,,,,,
Portland State,32,16,264,-8.95,-5.78,2475,2404,1290,856,2017,238,769,0.309,525,748,0.702,491,1282,434,0.424,130,449,681,,,,,,,
Syracuse NCAA,34,20,278,13.73,10.09,2370,2246,1365,808,1907,274,824,0.333,480,701,0.685,363,1174,408,0.424,162,423,588,,,,,,,
Cal State Bakersfield,34,18,218,-5.12,-2.63,2412,2412,1375,887,2092,221,683,0.324,417,620,0.673,486,1272,379,0.424,105,439,747,,,,,,,
Providence,34,18,253,8.29,6.71,2428,2374,1385,835,1973,225,690,0.326,533,771,0.691,399,1241,491,0.423,136,445,600,,,,,,,
Oklahoma State,32,12,183,8.09,11.53,2178,2288,1285,760,1796,280,753,0.372,378,549,0.689,295,1093,422,0.423,139,386,516,,,,,,,
South Carolina,32,16,202,8.34,9.63,2327,2316,1285,806,1907,242,662,0.366,473,694,0.682,383,1160,413,0.423,140,433,623,,,,,,,
St. Francis (NY),33,17,194,-10.19,-8.45,2345,2320,1325,841,1989,270,806,0.335,393,580,0.678,346,1191,387,0.423,136,413,635,,,,,,,
New Mexico,32,14,220,-0.55,1.61,2443,2454,1280,814,1927,292,844,0.346,523,745,0.702,351,1199,446,0.422,107,455,627,,,,,,,
Nicholls State,31,14,208,-11.87,-6.98,2260,2302,1250,807,1914,324,883,0.367,322,418,0.77,280,1041,428,0.422,128,386,587,,,,,,,
Pacific,32,14,199,-2.46,1.97,2138,2241,1290,710,1681,198,566,0.35,520,698,0.745,285,1039,325,0.422,46,423,630,,,,,,,
Bryant,30,10,158,-15.19,-7.66,2088,2314,1200,709,1680,230,708,0.325,440,618,0.712,285,969,319,0.422,79,383,575,,,,,,,
Evansville,32,11,185,-3.84,0.13,2234,2317,1295,747,1776,264,776,0.34,476,660,0.721,215,1095,394,0.421,89,416,602,,,,,,,
Stony Brook,33,24,209,-2.1,-6.48,2364,2188,1335,815,1937,233,715,0.326,501,695,0.721,410,1348,372,0.421,142,478,631,,,,,,,
Vanderbilt,32,9,154,3.57,7.79,2180,2315,1285,736,1750,230,739,0.311,478,710,0.673,325,1139,371,0.421,126,454,568,,,,,,,
Miami (OH),32,15,194,0.77,2.31,2267,2233,1285,777,1847,269,832,0.323,444,626,0.709,353,1190,349,0.421,87,413,581,,,,,,,
Niagara,32,13,128,-11.33,-7.77,2318,2432,1285,795,1887,265,738,0.359,463,629,0.736,315,1143,343,0.421,127,390,511,,,,,,,
Milwaukee,31,9,145,-8.9,-2.5,2146,2315,1245,765,1820,237,692,0.342,379,508,0.746,288,1094,356,0.42,94,382,579,,,,,,,
Rutgers,31,14,201,8.89,9.76,2105,2132,1250,771,1842,191,612,0.312,372,584,0.637,391,1210,390,0.419,124,408,566,,,,,,,
Middle Tennessee,32,11,190,-6.09,1.44,2141,2313,1280,778,1858,212,650,0.326,373,551,0.677,382,1228,352,0.419,85,512,583,,,,,,,
Texas-Rio Grande Valley,37,20,345,-2.04,-1.61,2634,2623,1490,895,2139,203,636,0.319,641,923,0.694,358,1215,503,0.418,105,471,763,,,,,,,
Pittsburgh,33,14,227,7.88,6.69,2306,2267,1330,769,1841,225,680,0.331,543,779,0.697,383,1211,387,0.418,126,448,611,,,,,,,
East Carolina,31,10,224,-5.49,1.31,2088,2299,1255,749,1791,155,545,0.284,435,638,0.682,317,1061,382,0.418,110,416,622,,,,,,,
SIU Edwardsville,31,10,198,-14.47,-5.06,2265,2520,1280,794,1898,201,665,0.302,476,677,0.703,351,1079,382,0.418,70,438,612,,,,,,,
Arkansas State,32,13,183,-7.1,-1.23,2359,2475,1310,796,1904,237,709,0.334,530,721,0.735,403,1211,363,0.418,139,448,684,,,,,,,
Mount St. Mary's,31,9,146,-14.57,-6.02,2092,2286,1240,733,1755,223,723,0.308,403,594,0.678,293,1036,354,0.418,107,410,576,,,,,,,
Detroit Mercy,31,11,238,-6.33,-0.36,2279,2464,1240,784,1874,294,825,0.356,417,581,0.718,336,1019,319,0.418,77,355,528,,,,,,,
Saint Louis NCAA,36,23,254,5.06,2.23,2399,2297,1440,855,2052,205,675,0.304,484,809,0.598,492,1428,460,0.417,145,464,634,,,,,,,
Penn State,32,14,245,12.55,11.51,2229,2196,1295,791,1898,222,693,0.32,425,613,0.693,382,1174,389,0.417,122,399,597,,,,,,,
Wyoming,32,8,176,-9.75,0.19,2105,2411,1285,690,1656,248,720,0.344,477,660,0.723,167,983,331,0.417,88,450,588,,,,,,,
Albany (NY),32,12,195,-9.38,-6.7,2150,2216,1300,728,1750,274,790,0.347,420,564,0.745,294,1081,402,0.416,78,454,566,,,,,,,
Tennessee Tech,31,8,226,-14.76,-3,2104,2350,1250,742,1784,213,620,0.344,407,645,0.631,330,1122,389,0.416,134,517,554,,,,,,,
Northern Iowa,34,16,165,-1.54,0.62,2215,2230,1360,769,1847,276,792,0.348,401,537,0.747,262,1115,370,0.416,75,393,554,,,,,,,
Monmouth,35,14,237,-10.66,-4.83,2286,2490,1420,794,1915,168,565,0.297,530,773,0.686,360,1224,379,0.415,101,502,698,,,,,,,
Charlotte,29,8,138,-8.34,-0.89,1776,1992,1160,598,1442,191,615,0.311,389,524,0.742,199,892,288,0.415,101,418,490,,,,,,,
South Carolina Upstate,32,6,207,-15.3,-4.27,2169,2395,1290,775,1872,269,817,0.329,350,492,0.711,305,1051,434,0.414,94,440,621,,,,,,,
Portland,32,7,175,-10.8,0.51,2078,2389,1290,707,1708,216,664,0.325,448,668,0.671,233,1032,369,0.414,123,425,588,,,,,,,
Central Connecticut State,31,11,172,-14.02,-6.71,2205,2367,1260,754,1821,201,612,0.328,496,634,0.782,332,1107,353,0.414,110,427,597,,,,,,,
West Virginia,36,15,223,6.94,10.57,2655,2786,1460,901,2181,269,852,0.316,584,849,0.688,519,1425,488,0.413,126,557,707,,,,,,,
Alcorn State,31,10,229,-22.08,-8.97,1995,2194,1245,709,1721,211,646,0.327,366,543,0.674,334,1079,391,0.412,107,492,548,,,,,,,
Cal Poly,29,6,147,-13.95,-3.54,1930,2183,1185,706,1715,225,687,0.328,293,452,0.648,284,975,301,0.412,99,334,544,,,,,,,
Tulane,31,4,147,-6.72,3.63,2082,2403,1240,733,1783,213,670,0.318,403,585,0.689,298,1131,444,0.411,109,467,535,,,,,,,
Princeton,28,16,168,-3.43,-0.89,1948,1951,1135,685,1666,207,679,0.305,371,502,0.739,272,1016,295,0.411,72,354,459,,,,,,,
Florida Atlantic,33,17,184,-1.42,-1.76,2322,2243,1335,809,1971,290,895,0.324,414,551,0.751,366,1296,419,0.41,93,485,575,,,,,,,
Navy,31,12,167,-10.09,-4,2061,2250,1240,732,1785,208,656,0.317,389,544,0.715,359,1160,399,0.41,58,437,534,,,,,,,
Chicago State,32,3,193,-24.83,0.67,1970,2710,1280,718,1752,141,471,0.299,393,581,0.676,252,995,376,0.41,72,512,625,,,,,,,
Texas-Arlington,33,17,211,-0.5,0.84,2284,2303,1345,781,1908,234,773,0.303,488,659,0.741,372,1235,421,0.409,97,467,630,,,,,,,
Akron,33,17,185,4.86,1.09,2271,2107,1325,797,1948,297,929,0.32,380,539,0.705,312,1204,399,0.409,106,388,569,,,,,,,
Wichita State,37,22,174,7.72,5.91,2609,2542,1485,929,2277,276,890,0.31,475,655,0.725,452,1417,499,0.408,135,446,705,,,,,,,
Saint Joseph's,33,14,186,-0.43,1.66,2328,2397,1325,793,1943,280,869,0.322,462,615,0.751,258,1145,397,0.408,110,305,497,,,,,,,
Alabama A&M,32,5,234,-19.23,-8.38,1938,2285,1295,736,1809,182,578,0.315,284,453,0.627,314,1032,385,0.407,50,487,587,,,,,,,
Old Dominion NCAA,35,26,197,3.74,-1.18,2300,2128,1400,823,2026,264,756,0.349,388,585,0.663,418,1365,439,0.406,160,408,580,,,,,,,
Stetson,31,7,210,-15.01,-3.46,2151,2429,1245,794,1962,215,684,0.314,348,503,0.692,359,1110,418,0.405,94,394,536,,,,,,,
Manhattan,32,11,221,-12.89,-7.32,1833,2011,1285,651,1608,219,661,0.331,312,534,0.584,326,1026,360,0.405,78,487,672,,,,,,,
Northwestern State,31,11,192,-17.06,-5.99,2051,2280,1250,725,1790,190,646,0.294,411,604,0.68,352,1103,340,0.405,138,496,578,,,,,,,
San Jose State,31,4,131,-16.37,0.59,2042,2534,1250,713,1765,210,641,0.328,406,620,0.655,323,1130,423,0.404,52,484,539,,,,,,,
George Washington,33,9,170,-6.65,1.2,2097,2356,1340,745,1842,196,631,0.311,411,600,0.685,274,1116,375,0.404,96,413,526,,,,,,,
Jackson State,32,13,209,-14.6,-9.33,1974,2107,1285,717,1774,155,554,0.28,385,607,0.634,331,1125,359,0.404,124,436,643,,,,,,,
Alabama State,31,12,203,-15.6,-7.84,2086,2235,1250,712,1764,216,673,0.321,446,684,0.652,365,1094,313,0.404,102,451,565,,,,,,,
North Carolina-Asheville,31,4,196,-19.81,-2.35,1857,2313,1245,655,1627,223,687,0.325,324,437,0.741,298,931,331,0.403,86,456,533,,,,,,,
Northwestern,32,13,176,9.97,9.16,2108,2082,1290,735,1827,233,744,0.313,405,551,0.735,278,1086,451,0.402,134,349,583,,,,,,,
Fordham,32,12,188,-5.02,-2.4,2108,2141,1295,759,1890,276,831,0.332,314,462,0.68,305,1082,360,0.402,108,345,559,,,,,,,
Texas-El Paso,29,8,135,-8.23,-1.71,1859,2001,1170,639,1592,199,620,0.321,382,578,0.661,285,1070,307,0.401,84,466,551,,,,,,,
La Salle,31,10,230,-3.61,1.29,2091,2243,1240,719,1798,259,783,0.331,394,512,0.77,328,1060,391,0.4,98,435,630,,,,,,,
Savannah State,31,11,234,-20.51,-9.04,2360,2694,1245,825,2080,351,1199,0.293,359,531,0.676,383,1188,462,0.397,96,478,564,,,,,,,
Morgan State,30,9,230,-15.98,-10.7,2161,2304,1210,758,1920,168,521,0.322,477,669,0.713,397,1078,362,0.395,48,401,614,,,,,,,
Wake Forest,31,11,150,1.21,8.47,2119,2344,1250,714,1812,197,640,0.308,494,681,0.725,399,1174,329,0.394,77,417,555,,,,,,,
Notre Dame,33,14,179,7.97,8.28,2266,2276,1320,776,1973,272,863,0.315,442,594,0.744,370,1208,423,0.393,148,306,455,,,,,,,
Maryland-Eastern Shore,32,7,186,-24.21,-7.91,1833,2291,1285,666,1705,172,610,0.282,329,489,0.673,264,989,361,0.391,70,431,575,,,,,,,
North Alabama,32,10,209,-11,-1.69,2145,2358,1285,744,1914,240,805,0.298,417,619,0.674,351,1170,334,0.389,74,435,614,,,,,,,
Coppin State,33,8,169,-18.9,-7.11,2118,2507,1330,710,1827,240,841,0.285,458,689,0.665,314,1218,326,0.389,115,555,620,,,,,,,
Wagner,30,13,184,-12.99,-7.63,1974,2044,1205,655,1696,236,773,0.305,428,575,0.744,378,1095,351,0.386,108,414,639,,,,,,,
