School,G,W,W-L%,PF,SOS,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,SRS,TRB,AST,STL,BLK,TOV,ORB,,,,,,,
Stetson,31,7,0.226,536,-3.46,2151,2429,1245,794,1962,0.405,215,684,0.314,348,503,0.692,-15.01,1110,418,210,94,394,359,,,,,,,
Southern,32,7,0.219,716,-7.37,2077,2360,1285,752,1710,0.44,180,544,0.331,393,588,0.668,-16.79,980,372,216,86,511,313,,,,,,,
Western Carolina,32,7,0.219,671,0.34,2304,2563,1295,792,1744,0.454,296,800,0.37,424,628,0.675,-9.28,1135,389,135,53,577,303,,,,,,,
Portland,32,7,0.219,588,0.51,2078,2389,1290,707,1708,0.414,216,664,0.325,448,668,0.671,-10.8,1032,369,175,123,425,233,,,,,,,
Maryland-Eastern Shore,32,7,0.219,575,-7.91,1833,2291,1285,666,1705,0.391,172,610,0.282,329,489,0.673,-24.21,989,361,186,70,431,264,,,,,,,
Cal Poly,29,6,0.207,544,-3.54,1930,2183,1185,706,1715,0.412,225,687,0.328,293,452,0.648,-13.95,975,301,147,99,334,284,,,,,,,
Incarnate Word,31,6,0.194,592,-5.11,2044,2355,1255,711,1527,0.466,174,508,0.343,448,553,0.81,-18.93,845,354,184,53,504,204,,,,,,,
Delaware State,31,6,0.194,589,-10.13,1956,2371,1240,695,1963,0.354,234,789,0.297,332,489,0.679,-26.82,1144,333,214,66,435,378,,,,,,,
South Carolina Upstate,32,6,0.188,621,-4.27,2169,2395,1290,775,1872,0.414,269,817,0.329,350,492,0.711,-15.3,1051,434,207,94,440,305,,,,,,,
Mississippi Valley State,32,6,0.188,570,-6.99,2058,2498,1285,730,1923,0.38,172,554,0.31,426,647,0.658,-22.47,1165,361,176,70,415,378,,,,,,,
Kennesaw State,32,6,0.188,525,-1.04,2030,2455,1285,742,1945,0.381,136,438,0.311,410,590,0.695,-16.17,1163,362,185,106,437,372,,,,,,,
New Hampshire,29,5,0.172,533,-6.03,1742,1990,1160,623,1656,0.376,261,787,0.332,235,385,0.61,-18.66,986,325,116,53,356,260,,,,,,,
Alabama A&M,32,5,0.156,587,-8.38,1938,2285,1295,736,1809,0.407,182,578,0.315,284,453,0.627,-19.23,1032,385,234,50,487,314,,,,,,,
Idaho,32,5,0.156,582,-6.19,2174,2460,1285,778,1764,0.441,251,678,0.37,367,507,0.724,-18.74,1061,399,130,53,433,258,,,,,,,
Maine,32,5,0.156,566,-4.21,1988,2271,1310,747,1728,0.432,201,647,0.311,293,452,0.648,-15.11,1015,471,239,94,460,280,,,,,,,
San Jose State,31,4,0.129,539,0.59,2042,2534,1250,713,1765,0.404,210,641,0.328,406,620,0.655,-16.37,1130,423,131,52,484,323,,,,,,,
Tulane,31,4,0.129,535,3.63,2082,2403,1240,733,1783,0.411,213,670,0.318,403,585,0.689,-6.72,1131,444,147,109,467,298,,,,,,,
North Carolina-Asheville,31,4,0.129,533,-2.35,1857,2313,1245,655,1627,0.403,223,687,0.325,324,437,0.741,-19.81,931,331,196,86,456,298,,,,,,,
Chicago State,32,3,0.094,625,0.67,1970,2710,1280,718,1752,0.41,141,471,0.299,393,581,0.676,-24.83,995,376,193,72,512,252,,,,,,,
