School,G,W,TRB,SRS,SOS,Tm.,Opp.,MP,FG,FGA,3P,3PA,3P%,FT,FTA,FT%,ORB,FG%,AST,STL,BLK,TOV,PF,,,,,
Toledo,33,25,1281,8.21,0.71,2537,2256,1330,901,1990,325,859,0.378,410,531,0.772,327,0.453,538,170,152,402,517,,,,,
Baylor NCAA,34,20,1281,13.38,9.26,2442,2302,1365,869,1966,274,803,0.341,430,635,0.677,450,0.442,473,209,159,446,636,,,,,
Xavier,35,19,1281,9.61,8.06,2526,2472,1420,922,1977,245,740,0.331,437,644,0.679,371,0.466,519,190,128,450,550,,,,,
Alabama-Birmingham,35,20,1279,0.36,-1.52,2470,2370,1410,906,2003,234,694,0.337,424,630,0.673,367,0.452,401,218,82,399,578,,,,,
Nebraska,36,19,1278,14.85,11.31,2586,2421,1445,916,2133,270,800,0.338,484,694,0.697,379,0.429,466,260,151,345,580,,,,,
Charleston Southern,34,18,1277,-2.43,-4.19,2574,2369,1370,926,2156,324,945,0.343,398,588,0.677,407,0.429,487,263,110,441,571,,,,,
Belmont NCAA,33,27,1275,9.12,-2.6,2868,2439,1330,1042,2094,343,922,0.372,441,598,0.737,286,0.498,645,220,125,376,509,,,,,
Nevada NCAA,34,29,1274,16,2.68,2723,2270,1360,924,1999,297,855,0.347,578,816,0.708,325,0.462,498,211,134,352,584,,,,,
Bethune-Cookman,31,14,1274,-11.98,-9.74,2290,2245,1250,833,1899,204,635,0.321,420,689,0.61,415,0.439,444,234,108,501,610,,,,,
Indiana,35,19,1272,13.82,10.1,2504,2374,1420,919,2009,211,676,0.312,455,695,0.655,341,0.457,469,226,154,433,596,,,,,
Cal State Bakersfield,34,18,1272,-5.12,-2.63,2412,2412,1375,887,2092,221,683,0.324,417,620,0.673,486,0.424,379,218,105,439,747,,,,,
Utah Valley,35,25,1271,3,-2.3,2697,2474,1400,930,1929,283,740,0.382,554,764,0.725,318,0.482,484,201,89,487,612,,,,,
North Carolina Central NCAA,34,18,1265,-11.53,-11.24,2429,2266,1365,874,1922,221,693,0.319,460,641,0.718,399,0.455,526,207,93,515,610,,,,,
Cincinnati NCAA,35,28,1264,14.53,5.5,2510,2194,1410,872,2018,232,673,0.345,534,758,0.704,442,0.432,466,214,155,365,563,,,,,
Texas,37,21,1264,16.06,11.46,2628,2458,1495,929,2146,325,934,0.348,445,637,0.699,358,0.433,486,227,152,401,627,,,,,
Oklahoma NCAA,34,20,1263,15.3,12.21,2423,2318,1365,883,1975,226,654,0.346,431,618,0.697,305,0.447,430,203,102,401,527,,,,,
Cal State Long Beach,34,15,1263,-4.57,-0.44,2545,2584,1375,877,2031,217,630,0.344,574,831,0.691,377,0.432,399,219,105,479,620,,,,,
Marshall,37,23,1260,-0.64,-0.61,2978,2979,1495,1047,2367,362,1058,0.342,522,723,0.722,319,0.442,527,334,170,453,664,,,,,
South Dakota State,33,24,1259,5.92,-4.74,2789,2425,1320,984,1965,327,802,0.408,494,635,0.778,251,0.501,489,202,65,388,557,,,,,
Western Kentucky,34,20,1256,3.14,0.96,2429,2355,1380,853,1910,199,608,0.327,524,724,0.724,338,0.447,417,235,174,466,528,,,,,
Coastal Carolina,34,17,1256,-0.5,-1.94,2641,2520,1370,899,1986,284,766,0.371,559,778,0.719,376,0.453,451,214,78,472,691,,,,,
Villanova NCAA,36,26,1253,14.33,7.97,2654,2425,1455,884,2019,380,1081,0.352,506,695,0.728,368,0.438,503,194,106,388,580,,,,,
Howard,34,17,1253,-12.3,-9.52,2684,2661,1370,937,2163,244,669,0.365,566,780,0.726,396,0.433,463,198,144,427,652,,,,,
North Florida,33,16,1252,-3.47,-0.7,2485,2531,1325,902,2014,308,897,0.343,373,539,0.692,363,0.448,520,212,165,536,573,,,,,
North Carolina-Greensboro,36,29,1251,4.08,-0.9,2738,2443,1445,997,2184,280,818,0.342,464,666,0.697,399,0.457,453,315,140,423,631,,,,,
Southern Utah,34,17,1250,-8.91,-6.22,2573,2566,1380,881,1997,272,799,0.34,539,757,0.712,282,0.441,426,199,114,466,696,,,,,
Presbyterian,36,20,1248,-3.56,-5.35,2817,2610,1445,966,2150,394,1034,0.381,491,674,0.728,324,0.449,565,214,69,358,617,,,,,
