School,G,W,FG%,SRS,SOS,Tm.,Opp.,MP,FG,FGA,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,,,,
Utah State NCAA,35,28,0.471,11.98,0.89,2753,2349,1410,959,2038,274,772,0.355,559,747,0.748,377,1405,598,215,147,449,649,,Range,0.172,,
DePaul,36,19,0.471,6,4.05,2821,2751,1450,1009,2143,241,703,0.343,562,773,0.727,396,1347,513,227,117,488,630,,Minimum,0.354,,
Northern Illinois,34,17,0.471,2.58,1.11,2506,2413,1375,940,1995,229,642,0.357,397,543,0.731,304,1179,374,188,75,404,653,,Maximum,0.526,,
Virginia Tech NCAA,35,26,0.47,19.28,7.79,2574,2172,1410,893,1900,327,831,0.394,461,606,0.761,310,1142,531,236,78,392,532,,Sum,156.378,,
Ball State,33,16,0.47,3.39,1.21,2478,2362,1340,889,1892,202,621,0.325,498,709,0.702,308,1243,426,217,118,480,579,,Count,353,,
Texas Tech NCAA,38,31,0.469,22.79,9.53,2765,2261,1530,990,2110,277,759,0.365,508,694,0.732,315,1297,518,278,186,457,663,,,,,
Abilene Christian NCAA,34,27,0.469,-1.91,-7.34,2502,2161,1370,897,1911,251,660,0.38,457,642,0.712,325,1110,525,297,93,407,635,,,,,
Boise State,33,13,0.469,3.61,1.08,2364,2263,1330,845,1801,252,715,0.352,422,584,0.723,242,1016,398,200,68,379,570,,,,,
Brigham Young,32,19,0.468,6.15,3.31,2527,2436,1295,878,1878,226,684,0.33,545,750,0.727,263,1118,482,203,107,354,625,,,,,
Drake,34,24,0.467,2.52,-0.66,2563,2387,1385,908,1943,279,773,0.361,468,618,0.757,279,1214,518,180,130,449,568,,,,,
San Francisco,31,21,0.467,8.56,1.13,2358,2101,1250,864,1851,258,727,0.355,372,568,0.655,340,1138,439,188,105,321,543,,,,,
Southern Mississippi,33,20,0.466,2.58,-0.83,2392,2160,1330,899,1929,275,712,0.386,321,489,0.656,274,1178,553,253,110,345,507,,,,,
Xavier,35,19,0.466,9.61,8.06,2526,2472,1420,922,1977,245,740,0.331,437,644,0.679,371,1281,519,190,128,450,550,,,,,
Southern Illinois,32,17,0.466,1.39,-0.17,2194,2144,1280,802,1720,213,570,0.374,377,550,0.685,289,1081,438,212,129,447,474,,,,,
Incarnate Word,31,6,0.466,-18.93,-5.11,2044,2355,1255,711,1527,174,508,0.343,448,553,0.81,204,845,354,184,53,504,592,,,,,
Kansas NCAA,36,26,0.465,18.35,12.79,2725,2525,1455,989,2128,260,743,0.35,487,691,0.705,374,1376,478,243,139,472,610,,,,,
Central Florida NCAA,33,24,0.465,13.37,5.58,2385,2128,1325,819,1763,229,628,0.365,518,798,0.649,315,1215,439,189,150,393,554,,,,,
Oakland,33,16,0.465,-2.27,-1.48,2534,2515,1325,864,1859,314,816,0.385,492,663,0.742,275,1063,580,191,99,426,534,,,,,
North Carolina NCAA,36,29,0.464,23.94,11.35,3089,2636,1445,1118,2410,312,862,0.362,541,728,0.743,477,1589,678,252,120,473,611,,,,,
